site,elev,lon_deg,lon_min,lat_deg,lat_min
carson_pass,8353,-119,-60,38,42
ebetts_pass,8765,-119,-48,38,33
fallen_leaf,6236,-120,-3,38,56
leavitt_lake,9617,-119,-37,38,17
marlette_lake,7880,-119,-54,39,10
mt_rose,8801,-119,-54,39,19
rubicon_peak,7689,-120,-8,38,60
tahoe_city,6797,-120,-9,39,10
virginia_lakes_ridge,9445,-119,-14,38,4
